Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",ENERGY STAR Score,Onsite Renewable (kWh)
Boston Common Visitor Information Center,500812000,Other,Tremont St Vstr  /  West,1234,Other,269926.5,0.443148413,0.556851587,,,,,,,
Boston Copley Square Courtyard,401057000,Hotel,88 Exeter st,40000,Hotel,9320252.1,0.332616958,0.667383042,,,,,,2,
Boston FGA/GHL Maintenance (040011),603422000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",571 East First Street,40687,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2006977,0.736902815,0.263097185,,,,,,,
Boston location,2100473000,Urgent Care/Clinic/Other Outpatient,1055 Commonwealth Ave,42650,"Parking, Urgent Care/Clinic/Other Outpatient",6927118.9,0.298197278,0.701802722,,,,,,,
Boston MA YTL,602640080,Hotel,65 Seaport Blvd,99000,Hotel,8645206.1,0.735618749,0.264381251,,,,,,70,
Boston Medical Center,"801067020, 801172000, 801243001, 801298000, 801299000, 801301000, 801420000",Hospital (General Medical & Surgical),One Boston Medical Center Place,2185271,"Hospital (General Medical & Surgical), Parking",522295973.3,0.346903386,0.34555108,0.307545533,,,,,79,
BOSTON OPERA HOUSE,304830000,Performing Arts,539 WASHINGTON STREET,118781,Performing Arts,8168778.2,0.640399111,0.359600889,,,,,,,
BOSTON PAPER BOARD CORP,202127000,Manufacturing/Industrial Plant,40 ROLAND STREET,62970,Manufacturing/Industrial Plant,677281.6,0.507295045,0.492704955,,,,,,,
BOSTON SOUTH BAY (1898),703501010,Retail Store,7 ALLSTATE RD,147225,"Parking, Retail Store",10228834,0.690033097,0.309966903,,,,,,76,
Boston Trinity Academy,1811281000,K-12 School,17 Hale Street,53000,K-12 School,4016748.8,0.081769938,0.918230037,,,,,,71,
BostonView Apartments,302811000,Multifamily Housing,130-140 Bowdoin St,209103,"Multifamily Housing, Parking",1162898.3,1,,,,,,,100,
Bowdoin  Place Condominium,302726010,Multifamily Housing,10 Bowdoin Street,112888,Multifamily Housing,321437.7,1,,,,,,,100,
Bowdoin School: Bowdoin School,300213000,Multifamily Housing,45 Myrtle Street,35000,Multifamily Housing,3321314.9,0.291839145,0.402707404,,0.305453421,,,,10,
Boylston - 1163 Boylston Street,504178000,Multifamily Housing,1163 Boylston St,174700,Multifamily Housing,21126526.8,0.098869138,0.901130857,,,,,,57,
Boylston West (Van Ness),504322010,Mixed Use Property,1335 Boylston St,522748,"Multifamily Housing, Office, Other, Parking, Retail Store",48157702.3,0.629367191,0.370632807,,,,,,,
BPD Backup Tower,2000676000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",64 Bellevue Hill Rd,10200,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",191855.6,1,,,,,,,,
BPHC Southampton Street,801027012,Office,112 Southampton St,44719,Office,2411738.1,1,,,,,,,56,
BRA / EDIC,302644000,Other,43 HAWKINS ST,23408,Other,4519944.2,0.29986587,0.700134152,,,,,,,
BRADLEY,102342000,K-12 School,110 Beachview Rd.,33128,K-12 School,2077660.8,0.229278427,0.770721573,,,,,,65,
Brandywyne Village,100534000,Multifamily Housing,88 Brandywyne Drive,385580,Multifamily Housing,26330296.6,0.184685762,0.815314238,,,,,,82,
Brewery Lofts,1001480000,Multifamily Housing,251 Heath St Pub,86900,Multifamily Housing,6677138.9,0.498446183,0.501553832,,,,,,21,
Bricklayers Bulding 104 LLC,203515760,Other - Lodging/Residential,104 First Avenue,80038,"Other - Lodging/Residential, Parking",1168193.8,1,,,,,,,,
Bright Hockey Center,2200533000,Ice/Curling Rink,67 North Harvard Street,131386,Ice/Curling Rink,16097832,0.359435115,0.216112667,0.424452218,,,,,,
Brighton Branch,2205472000,Library,40 Academy Rd,17208,Library,1706329.8,0.270067838,0.729932162,,,,,,,
BRIGHTON HS,2101837000,K-12 School,25 Warren St.,216213,K-12 School,7702990.2,0.305842425,0.694157575,,,,,,93,
Brighton Marine,2101838000,Medical Office,77 Warren Street,204504,Medical Office,18571405.6,0.303447705,0.696552295,,,,,,,
Brighton-Allston Apartments,2204054000,Multifamily Housing,493 501 WASHINGTON ST,39006,Multifamily Housing,3119932.6,0.136233616,0.863766384,,,,,,64,
Broadlawn Commons Condominium Trust,2007013060,Multifamily Housing,50 Broadlawn Park,108260,Multifamily Housing,8015550,0.290711554,0.709288458,,,,,,46,
Broadluxe Condo Trust,304033010,Multifamily Housing,99 105 Broad St,45111,Multifamily Housing,4035593.2,0.495705514,0.504294486,,,,,,4,
Brooke Charter School - East Boston,100899000,K-12 School,94 Horace St,28637,K-12 School,2994779.5,0.625010957,0.374989043,,,,,,2,
Brooke Charter School - Mattapan,1404300020,K-12 School,150 American Legion Highway,43560,K-12 School,4266074.1,0.460879243,0.539120757,,,,,,6,
Brooke Charter School - Roslindale,"1903799000, 1903800000, 1903801000, 1903811000",K-12 School,190 Cummins Highway,63221,K-12 School,4136147.4,0.192101519,0.807898481,,,,,,62,
Brooke High School,1405196910,K-12 School,200 American Legion Highway,90000,K-12 School,5439531.3,0.477668765,0.522331235,,,,,,43,
Brown Kaplan,"1404266030, 1404266020, 1404266040, 1404266050, 1404266060, 1404266070, 1404266080, 1404266090, 1404266100, 1404266110, 1404272010, 1404272020, 1404277010, 1404277020, 1404277030, 1404277040, 1404277050, 1404287010, 1404290010, 1404290020",Multifamily Housing,27-33 Wilbert Rd,4814,"Multifamily Housing, Parking",365791,0.143499977,0.856500023,,,,,,,
BRT-883 Boylston,503139000,Office,883 Boylston Street,14000,"Office, Retail Store",2136190.4,0.369063731,0.630936269,,,,,,,
Bruce C. Bolling Municipal Building,903139000,Office,2300 Washington St,184032,Office,13622204,0.590329942,0.409670058,,,,,,67,
Bryant Back Bay,400554010,Other - Lodging/Residential,303 columbus ave,168920,Other - Lodging/Residential,Not Available,,,,,,,,,
Building 103 Associates,,Multifamily Housing,103 Ninth Street,450,Multifamily Housing,Not Available,,,,,,,,,
"Buildings 1, 2, 3 & 4 (Rollup)",401880000,College/University,650-665-677 Huntington Ave,534676,College/University,141814720.9,0.280902584,0.00442973,0.396877034,,,0.317790653,,,
Bunker Hill Business Center,"202162085, 202162075",Non-Refrigerated Warehouse,440 Rutherford ,52944,"Non-Refrigerated Warehouse, Parking",2752529.5,0.58561752,0.41438248,,,,,,39,
Bunker Hill Mall - Reporting,202210000,Strip Mall,5-31 Austin Street,46457,"Parking, Strip Mall",6622736.4,0.48157387,0.51842613,,,,,,,
BURKE HS (NEW),1400737000,K-12 School,60 Washington St.,202304,"K-12 School, Library, Social/Meeting Hall",22803955.7,0.422099956,0.577900044,,,,,,,
Burnham Building,304585010,Retail Store,10 Summer Street,274037,"Office, Restaurant, Retail Store",34153988,0.762373284,0.237626716,,,,,,23,
Burroughs Wharf Condominium,303040000,Multifamily Housing,40 & 50 Battery Street,106921,Multifamily Housing,8692943.8,0.749506249,0.25049374,,,,,,1,
Butler Street,1703703000,Multifamily Housing,68 Butler Street,24000,Multifamily Housing,97830.8,1,,,,,,,100,
C Building,401882000,College/University,240 Longwood,136368,College/University,25720673.5,0.455876375,0.000419896,0.254690065,,,0.289013664,,,
C-11 Station,1600673000,Police Station,40 Gibson St,15339,Police Station,2335354.8,0.478924573,0.521075427,,,,,,,
C-6 Station,"600117000, 600118000, 600119000, 600120000, 600125000",Police Station,99 WEST BROADWAY,15000,Police Station,2752299.8,0.399735087,0.600264913,,,,,,,
Cadigan Alumni Center,2205268030,Office,2121 Commonwealth Avenue,68729,Office,3896950.8,0.47425559,0.525744385,,,,,,82,
"Cahners,Cushing,kerr,Melvin Campus",,College/University,90 The Fenway,99293,College/University,9687855.6,0.172912941,0.82708707,,,,,,,
CAMBRIA-SCOTIA COMPANY,401336000,Parking,50 Dalton Street,175270,Parking,Not Available,,,,,,,,,
Camelot Court,2101267000,Multifamily Housing,10 & 11 Camelot Court,137291,Multifamily Housing,12822050,0.131952504,0.868047496,,,,,,68,
Camfield Estates,901220000,Multifamily Housing,112 Camden Street,113315,Multifamily Housing,14113587.6,0.178970838,0.821029162,,,,,,11,
Campbell Resource Center,1503107000,K-12 School,1216 Dorchester Ave.,97349,K-12 School,7380980.3,0.450101838,0.549898175,,,,,,25,
Campus Center and Student Residence (150 Riverway),402007000,Residence Hall/Dormitory,150 Riverway,58000,Residence Hall/Dormitory,9115674.2,0.431142482,0.568857518,,,,,,8,
Cardinal Cushing Library,401847000,Library,398 The Fenway,51782,Library,5078687,0.327253698,0.672746302,,,,,,,
Cardinal Medeiros Manor: 11 Woodcliff Street,1300691000,Multifamily Housing,11 Woodcliff St,26070,Multifamily Housing,2978929.5,0.263077256,0.736922744,,,,,,45,
Carillon Condo Trust,401420010,Multifamily Housing,183 Massachusetts Avenue,50000,Multifamily Housing,3275929,0.383692717,0.616307252,,,,,,39,
Carleton House: 2055 Columbus Ave,1101588100,Multifamily Housing,2055 Columbus Ave,32569,Multifamily Housing,2505207.5,0.118569779,0.881430221,,,,,,73,
Carney Hospital,"1605017010, 1605018010",Hospital (General Medical & Surgical),2100 Dorchester Avenue,540000,Hospital (General Medical & Surgical),101216403.1,0.350330736,0.649669264,,,,,,89,
Carson Tower,701483000,Multifamily Housing,"423 E EIGHTH ST	",147560,Multifamily Housing,10690057.9,0.090608106,0.909391894,,,,,,89,
CARTER,901030020,K-12 School,396 Northampton St.,14435,K-12 School,969016.5,1,,,,,,,6,
Casa Maria Apartments,301498000,Multifamily Housing,130 Endicott Street ,79136,Multifamily Housing,6758198,0.225841001,0.774158999,,,,,,46,
Castle Cove Co-op: 225 West 2nd Street,601507001,Multifamily Housing,225 West 2nd Street,95760,Multifamily Housing,4065410.8,0.271020754,0.728979246,,,,,,95,
Castle Square-0500478002,"500478002, 500550001, 500590000",Multifamily Housing,484 Tremont St,358603,Multifamily Housing,26002833.7,0.191900147,0.808099853,,,,,,82,
Cathedral of the Holy Cross,801111000,Worship Facility,1400 Washington Street,80974,Worship Facility,9204405.2,0.207984564,0.792015447,,,,,,5,
Catherine Clark: Catherine Clark,1301910000,Multifamily Housing,915 Dorchester Avenue,74185,Multifamily Housing,7716640.6,0.2983236,0.701676413,,,,,,19,
CCC,202751000,Other,50 Terminal St,403000,Other,12400260.2,0.497099262,0.502900738,,,,,,,
Cedar Grove Condominium Association,1605381000,Other - Lodging/Residential,135 Granite Avenue,36000,"Other - Lodging/Residential, Parking",1523231.2,0.049389219,0.950610781,,,,,,,
Center Plaza,"302713000, 302715000, 302717000",Office,1 Center Plaza,741231,"Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",51000526.9,0.523804979,0.476195023,,,,,,82,
Central Boston Elder: 2311 Washington st,903130010,Multifamily Housing,2311 Washington st,49588,Multifamily Housing,3624309.6,0.438380126,0.561619901,,,,,,37,
Central Kitchen ELC,1502003000,K-12 School,370 Columbia Road,53270,K-12 School,6736747.9,0.440205711,0.559794289,,,,,,1,
Central Maintenance Facility,801024040,Other,400 Frontage Rd,422000,Other,22327664.5,0.433511252,0.566488748,,,,,,,
Central Supply,1809445000,Police Station,1555 Hyde Park Ave,31000,Police Station,18566306.8,0.055557576,0.944442424,,,,,,,
Channel Trust,602686000,Office,369 Congress St,57800,"Office, Other",4238103.7,0.199736406,0.800263594,,,,,,81,
CHANNING,1811999000,K-12 School,35 Sunnyside St.,32582,K-12 School,1756885.3,0.202483509,0.797516491,,,,,,80,
Chao Center,2200500000,College/University,49 Harvard Way,87000,"College/University, Office, Restaurant",10783363.7,0.419609894,0.20081438,0.354701836,,,,,,78612
Chapman House,102829000,Multifamily Housing,61 Eutaw Street,33551,Multifamily Housing,2600802.2,0.219246508,0.780753492,,,,,,51,
Charles Bulfinch Condominium,303135000,Multifamily Housing,350 North Street,43463,Multifamily Housing,1780759.5,0.410607833,0.589392167,,,,,,97,
Charlesbank Apartments: 650 Huntington Avenue,1000015000,Multifamily Housing,650 Huntington Avenue,210000,Multifamily Housing,13708768.1,0.277774937,0.722225063,,,,,,83,
Charlesgate Condominiums,503870210,Multifamily Housing,4 Charlesgate East,35000,Multifamily Housing,4990778.2,0.208461879,0.791538101,,,,,,,
CharlesNewtown-0202734000,202734000,Multifamily Housing,89 Medfort St,167428,"Multifamily Housing, Parking",22812615.7,0.23715867,0.76284133,,,,,,5,
Charlestown Branch,200449000,Library,179 Main St,15831,Library,1061925.2,0.466451969,0.533547937,,,,,,,
CHARLESTOWN HS,200128000,K-12 School,240 Medford St.,226822,K-12 School,15612221.6,0.412841738,0.587158262,,,,,,37,
Charlestown Navy Yard Rowhouses,203517500,Multifamily Housing,110 First Ave,47000,Multifamily Housing,3964263.1,1,,,,,,,1,
Charlesview Residences - Compliance,2200862010,Multifamily Housing,400 Western Avenue,211834,Multifamily Housing,14261876.8,0.492832283,0.507167717,,,,,,68,
Chase Hall,2200530000,Residence Hall/Dormitory,34 Harvard Way,50796,"Office, Residence Hall/Dormitory",5356328.3,0.177783669,,0.822216331,,,,,58,
Chauncy House,304506000,Multifamily Housing,115-119 Chauncy Street,58874,Multifamily Housing,3542049.1,0.399826982,0.600173018,,,,,,77,
Cheriton Grove Apartments,2011777000,Multifamily Housing,20 Cheriton Rd,43174,Multifamily Housing,3147935.9,0.28986648,0.71013352,,,,,,73,
Cheriton Heights,2011777010,Multifamily Housing,18 Cheriton Rd,79367,Multifamily Housing,3227523.6,0.421263411,0.578736589,,,,,,94,
Chestnut Hill Park Condominium Trust,2102333000,Multifamily Housing,"5 Braemore Rd, 324 CH. Hill Ave. 1868, 1870, 1872, 1874, 1880 Comm. Ave",89071,Multifamily Housing,8685180.1,0.109463395,0.017190202,,0.873346403,,,,64,
Chestnut Hill Park Condominium Trust,2102333000,Multifamily Housing,"5 Braemore Rd, 324 CH. Hill Ave. 1868, 1870, 1872, 1874, 1880 Comm. Ave",89071,Multifamily Housing,8685180.1,0.109463395,0.017190202,,0.873346403,,,,64,
Chilled Water Plant,2200530000,Other - Utility,80 Harvard Way,19627,Other - Utility,10901632.3,0.806100762,,0.193899238,,,,,,
Chiswick,2102229000,Multifamily Housing,69 Chiswick Road,40236,Multifamily Housing,3442996.4,0.230962803,,,0.769037168,,,,,
Chiswick Building,2102538000,Multifamily Housing,125 Chiswick Rd,94068,Multifamily Housing,5499570.5,0.057599062,0.942400938,,,,,,95,
CHITTICK,1803703000,K-12 School,154 Ruskindale Rd.,48697,K-12 School,2389452.6,0.162774687,0.837225271,,,,,,87,
Christopher Columbus Plaza: 145 Commercial Street,303551000,Multifamily Housing,145 Commercial St,174895,Multifamily Housing,9711835,0.322535947,0.677464053,,,,,,84,
Church of the Covenant,501279000,Worship Facility,67 Newbury ST.,49500,Worship Facility,2882846.9,0.310299829,0.689700136,,,,,,30,
Church Park Apartments,401425000,Multifamily Housing,221 Massachusetts Avenue,470833,"Multifamily Housing, Parking",36200771.4,0.439436257,0.560563743,,,,,,40,
City Hall,302615000,Office,One City Hall Square,513000,Office,55900447,0.733842461,,0.266157539,,,,,26,
City Square Elderly Housing,203350010,Multifamily Housing,42 Park Street,94970,Multifamily Housing,5500594.6,0.323685952,0.676314048,,,,,,87,
City Year,400549000,Office,287 Columbus Ave,64540,Office,4394174.8,0.519772745,0.480227255,,,,,,84,
CLAP,703154000,K-12 School,35 Harvest St.,29448,K-12 School,1345040.1,0.172091598,0.827908402,,,,,,90,
Class of 1959 Chapel,2200530000,Worship Facility,66 North Harvard Street,6932,Worship Facility,604551.8,0.383916151,,0.616083849,,,,,2,
CLEVELAND NEW,1501543000,K-12 School,11 Charles St.,91562,K-12 School,5741531.1,0.404337303,0.595662697,,,,,,47,
CLEVELAND OLD,1501543000,K-12 School,9 Charles St.,80472,K-12 School,7392402,0.213217233,0.786782767,,,,,,30,
Cliffmont Estates Condominium,1804765000,Multifamily Housing,57A - 145B Grew Ave.,117000,"Multifamily Housing, Parking",7309077.9,0.229697648,0.770302366,,,,,,95,
Clougherty Pool,201503000,Fitness Center/Health Club/Gym,345 Bunker Hill St,9936,"Fitness Center/Health Club/Gym, Swimming Pool",169439.9,1,,,,,,,,
C-Nort20,2201908000,Non-Refrigerated Warehouse,155 North Beacon Street,120000,"Non-Refrigerated Warehouse, Parking",8346421.7,0.437529894,0.562470106,,,,,,1,
CO/GLC 6112006/8 HARRISON AVE/BOSTON/MA,304482000,Other - Technology/Science,8 HARRISON AVE,161486,"Multifamily Housing, Other - Technology/Science",18854234,0.923679069,,0.076320937,,,,,,
CO/GLC 6123006/6 BOWDOIN SQ/BOSTON/MA,302628000,Other - Technology/Science,6 BOWDOIN SQ,223538,Other - Technology/Science,36908144.5,0.770579087,0.22942091,,,,,,,
CO/GLC 6130007/41 BELVIDERE ST/BOSTON/MA,401314000,Other - Technology/Science,41 BELVIDERE ST,119288,Other - Technology/Science,25157334.3,1,0,,,,,,,
CO/GLC 6140006/26 WAVERLY ST/ROXBURY/MA,1200357000,Other - Technology/Science,26 WAVERLY ST,107953,Other - Technology/Science,10359913.1,0.840780498,0.159219502,,,,,,,
CO/GLC 6150006/175 ADAMS ST/DORCESTER/MA,1501583000,Other - Technology/Science,175 ADAMS ST,104335,Other - Technology/Science,13106727.3,0.805992752,0.194007248,,,,,,,
Codman Commons Condominium,1701640000,Other - Lodging/Residential,245-265 Norfolk Street,57058,"Other - Lodging/Residential, Parking",18128,1,,,,,,,,
Codman Square Branch,1704771000,Library,690 Washington St,20000,Library,1402591.9,0.489854462,0.510145538,,,,,,,
Codman Square Health Center,1701282000,Urgent Care/Clinic/Other Outpatient,2 Norfolk St,18000,Urgent Care/Clinic/Other Outpatient,249706.8,1,,,,,,,,
Colonial Theater,500045000,Performing Arts,98-106 Boylston Streeet,172349,Performing Arts,9714938.5,0.57991978,,0.42008022,,,,,,
Columbia Road Apartments,1502435000,Multifamily Housing,414 Columbia Road,26444,Multifamily Housing,1645545.1,0.221022262,0.778977738,,,,,,76,
Columbia Road Apts: 422 Columbia Road,1502434000,Multifamily Housing,422 Columbia Road,31548,Multifamily Housing,2115939,0.165956013,0.834043987,,,,,,86,
Columbia West: 392 Columbia Rd,1502411010,Multifamily Housing,392 Columbia Rd,41632,Multifamily Housing,2229493.6,0.430124446,0.569875554,,,,,,85,
Columbus Place,901417000,College/University,716 Columbus Avenue,124192,College/University,12984622.3,0.414607493,0.585392507,,,,,,,
Comaven Housing: Comaven Housing,2101105000,Multifamily Housing,1399 Commonwealth Avenue,64946,Multifamily Housing,2896499.1,0.341927018,0.658072982,,,,,,97,
Comcast Building,602818000,Office,426 East First Street,80000,"Non-Refrigerated Warehouse, Office, Parking",5553138.1,0.442817801,0.557182199,,,,,,,
